what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.birt.report.designer.ui.cubebuilder,2.3.1.v20080905,org.eclipse.birt.report.designer.ui.cubebuilder,1243867356042
stopped,bundle,org.eclipse.birt.report.designer.ui.editor.script,2.3.1.v20080905,org.eclipse.birt.report.designer.ui.editor.script,1243867356156
