what,kind,bundleId,bundleVersion,description,time
started,bundle,com.genuitec.eclipse.easie.tomcat,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.tomcat,1243865507721
started,bundle,com.genuitec.eclipse.easie.tomcat.myeclipse,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.tomcat.myeclipse,1243865507760
started,bundle,com.genuitec.eclipse.easie.tomcat4,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.tomcat4,1243865507775
started,bundle,com.genuitec.eclipse.easie.tomcat5,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.tomcat5,1243865507786
started,bundle,com.genuitec.eclipse.easie.tomcat6,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.tomcat6,1243865507798
started,bundle,com.genuitec.eclipse.easie.weblogic,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.weblogic,1243865507811
started,bundle,com.genuitec.eclipse.easie.weblogic10,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.weblogic10,1243865507826
started,bundle,com.genuitec.eclipse.easie.weblogic6,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.weblogic6,1243865507840
started,bundle,com.genuitec.eclipse.easie.weblogic7,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.weblogic7,1243865507860
started,bundle,com.genuitec.eclipse.easie.weblogic8,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.weblogic8,1243865507872
started,bundle,com.genuitec.eclipse.easie.weblogic9,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.weblogic9,1243865507886
started,bundle,com.genuitec.eclipse.easie.websphere,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.websphere,1243865507900
started,bundle,com.genuitec.eclipse.easie.websphere5,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.websphere5,1243865507916
started,bundle,com.genuitec.eclipse.easie.websphere6,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.websphere6,1243865507943
started,bundle,com.genuitec.eclipse.easie.websphere61,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.websphere61,1243865507959
started,bundle,com.genuitec.eclipse.examples,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.examples,1243865507963
started,bundle,com.genuitec.eclipse.intro,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.intro,1243865507975
started,bundle,com.genuitec.eclipse.memory,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.memory,1243865508022
started,bundle,org.eclipse.team.cvs.ssh2,3.2.200.I20080604,org.eclipse.team.cvs.ssh2,1243865508023
started,bundle,com.genuitec.eclipse.tapestry,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.tapestry,1243865508030
started,bundle,org.eclipse.jdt.debug,3.4.1.v20081216_r342,org.eclipse.jdt.debug,1243865508669
started,bundle,com.genuitec.eclipse.wdt.jsp.debug,7.1.1.zmyeclipse71120090310,com.genuitec.eclipse.wdt.jsp.debug,1243865508674
started,bundle,com.iw.plugins.spindle.core,7.1.0.zmyeclipse7102009030516,com.iw.plugins.spindle.core,1243865508690
started,bundle,org.eclipse.wst.common.snippets,1.1.200.zmyeclipse7102009030516,org.eclipse.wst.common.snippets,1243865508694
started,bundle,com.genuitec.eclipse.templates,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.templates,1243865508715
