what,kind,bundleId,bundleVersion,description,time
started,bundle,com.genuitec.eclipse.easie.jboss4,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.jboss4,1243865507259
started,bundle,com.genuitec.eclipse.easie.jboss5,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.jboss5,1243865507270
started,bundle,com.genuitec.eclipse.easie.jetty,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.jetty,1243865507282
started,bundle,com.genuitec.eclipse.easie.jetty4,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.jetty4,1243865507296
started,bundle,com.genuitec.eclipse.easie.jetty5,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.jetty5,1243865507310
started,bundle,com.genuitec.eclipse.easie.jetty6,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.jetty6,1243865507322
started,bundle,com.genuitec.eclipse.easie.jonas,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.jonas,1243865507345
started,bundle,com.genuitec.eclipse.easie.jonas3,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.jonas3,1243865507356
started,bundle,com.genuitec.eclipse.easie.jonas4,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.jonas4,1243865507367
started,bundle,com.genuitec.eclipse.easie.jrun,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.jrun,1243865507377
started,bundle,com.genuitec.eclipse.easie.jrun4,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.jrun4,1243865507392
started,bundle,com.genuitec.eclipse.easie.oracle,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.oracle,1243865507406
started,bundle,com.genuitec.eclipse.easie.oracle10,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.oracle10,1243865507424
started,bundle,com.genuitec.eclipse.easie.oracle9,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.oracle9,1243865507477
started,bundle,com.genuitec.eclipse.easie.orion1,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.orion1,1243865507514
started,bundle,com.genuitec.eclipse.easie.orion2,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.orion2,1243865507537
started,bundle,com.genuitec.eclipse.easie.resin,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.resin,1243865507575
started,bundle,com.genuitec.eclipse.easie.resin2,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.resin2,1243865507598
started,bundle,com.genuitec.eclipse.easie.resin3,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.resin3,1243865507621
started,bundle,com.genuitec.eclipse.easie.sun,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.sun,1243865507635
started,bundle,com.genuitec.eclipse.easie.sun8,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.sun8,1243865507651
started,bundle,com.genuitec.eclipse.easie.sun81,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.sun81,1243865507662
started,bundle,com.genuitec.eclipse.easie.sun9,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.sun9,1243865507674
started,bundle,com.genuitec.eclipse.easie.sunglassfish,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.sunglassfish,1243865507695
started,bundle,com.genuitec.eclipse.easie.sunglassfish2,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.sunglassfish2,1243865507707
