what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.context.core,1243865498316
started,bundle,org.eclipse.mylyn.context.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.context.ui,1243865498324
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.monitor.ui,1243865498324
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.ui,1243865498333
started,bundle,org.eclipse.mylyn.team.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.team.ui,1243865498334
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20090115,org.eclipse.team.cvs.core,1243865498335
started,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1243865498337
started,bundle,org.eclipse.wst.common.emf,1.1.203.v200811022047,org.eclipse.wst.common.emf,1243865498362
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.202.v200811131900,org.eclipse.wst.common.emfworkbench.integration,1243865498373
started,bundle,org.eclipse.wst.common.frameworks,1.1.201.v200811060900,org.eclipse.wst.common.frameworks,1243865498374
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.1.v200807241900,org.eclipse.wst.jsdt.manipulation,1243865498374
started,bundle,com.genuitec.eclipse.core,7.1.1.zmyeclipse71120090310,com.genuitec.eclipse.core,1243865498375
started,bundle,com.genuitec.eclipse.core.common,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.core.common,1243865498380
started,bundle,com.genuitec.eclipse.core.common.platform,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.core.common.platform,1243865498381
started,bundle,com.genuitec.eclipse.dashboard,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.dashboard,1243865498382
started,bundle,com.genuitec.eclipse.fileview,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.fileview,1243865498383
started,bundle,com.genuitec.myeclipse.perspective,7.1.0.zmyeclipse7102009030516,com.genuitec.myeclipse.perspective,1243865498384
started,bundle,org.eclipse.emf.common,2.4.0.v200808251517,org.eclipse.emf.common,1243865498384
started,bundle,org.eclipse.emf.common.ui,2.4.0.v200808251517,org.eclipse.emf.common.ui,1243865498401
started,bundle,org.eclipse.emf.ecore,2.4.1.v200808251517,org.eclipse.emf.ecore,1243865498401
started,bundle,org.eclipse.emf.ecore.xmi,2.4.1.v200808251517,org.eclipse.emf.ecore.xmi,1243865498423
started,bundle,org.eclipse.emf.edit,2.4.1.v200808251517,org.eclipse.emf.edit,1243865498423
started,bundle,org.eclipse.emf.edit.ui,2.4.1.v200808251517,org.eclipse.emf.edit.ui,1243865498423
started,bundle,org.eclipse.jst.j2ee,1.1.204.zmyeclipse7102009030516,org.eclipse.jst.j2ee,1243865498475
started,bundle,org.eclipse.jst.j2ee.core,1.1.202.zmyeclipse7102009030516,org.eclipse.jst.j2ee.core,1243865498484
