what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.j2ee.ui,1.1.204.zmyeclipse7102009030516,org.eclipse.jst.j2ee.ui,1243865498491
started,bundle,org.eclipse.wst.common.modulecore,1.1.204.zmyeclipse7102009030516,org.eclipse.wst.common.modulecore,1243865498504
started,bundle,org.eclipse.wst.common.project.facet.core,1.3.4.zmyeclipse7102009030516,org.eclipse.wst.common.project.facet.core,1243865498505
started,bundle,org.eclipse.wst.jsdt.core,1.0.103.zmyeclipse7102009030516,org.eclipse.wst.jsdt.core,1243865498506
started,bundle,org.eclipse.wst.jsdt.ui,1.0.103.zmyeclipse7102009030516,org.eclipse.wst.jsdt.ui,1243865498522
started,bundle,org.eclipse.wst.validation,1.2.3.zmyeclipse7102009030516,org.eclipse.wst.validation,1243865498524
started,bundle,org.eclipse.wst.web,1.1.205.v200811132030,org.eclipse.wst.web,1243865498524
started,bundle,org.eclipse.wst.xml.core,1.1.306.zmyeclipse7102009030516,org.eclipse.wst.xml.core,1243865498530
started,bundle,org.springframework.ide.eclipse.aop.core,2.2.0.zmyeclipse7102009030516,org.springframework.ide.eclipse.aop.core,1243865498531
started,bundle,org.springframework.ide.eclipse.aop.ui,2.2.0.zmyeclipse7102009030516,org.springframework.ide.eclipse.aop.ui,1243865498532
started,bundle,org.springframework.ide.eclipse.beans.core,2.2.0.zmyeclipse7102009030516,org.springframework.ide.eclipse.beans.core,1243865498533
started,bundle,org.springframework.ide.eclipse.beans.ui,2.2.0.zmyeclipse7102009030516,org.springframework.ide.eclipse.beans.ui,1243865498534
started,bundle,org.springframework.ide.eclipse.core,2.2.0.zmyeclipse7102009030516,org.springframework.ide.eclipse.core,1243865498535
started,bundle,org.springframework.ide.eclipse.javaconfig.ui,2.2.0.zmyeclipse7102009030516,org.springframework.ide.eclipse.javaconfig.ui,1243865498536
started,bundle,org.springframework.ide.eclipse.ui,2.2.0.zmyeclipse7102009030516,org.springframework.ide.eclipse.ui,1243865498537
started,bundle,org.tigris.subversion.clientadapter,1.5.3,org.tigris.subversion.clientadapter,1243865498537
started,bundle,org.tigris.subversion.subclipse.core,1.4.8,org.tigris.subversion.subclipse.core,1243865498537
started,bundle,org.tigris.subversion.subclipse.ui,1.4.8,org.tigris.subversion.subclipse.ui,1243865498538
started,bundle,com.genuitec.eclipse.easie.core,7.1.1.zmyeclipse71120090310,com.genuitec.eclipse.easie.core,1243865502037
started,bundle,com.genuitec.org.hibernate.eclipse,3.2.4.CR1-zmyeclipse7102009030516,com.genuitec.org.hibernate.eclipse,1243865502343
started,bundle,org.eclipse.draw2d,3.4.2.v20090114-1330,org.eclipse.draw2d,1243865502690
started,bundle,com.genuitec.eclipse.sqlexplorer,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.sqlexplorer,1243865502725
started,bundle,com.genuitec.eclipse.reporting,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.reporting,1243865502895
started,bundle,org.eclipse.birt.core,2.3.1.zmyeclipse7102009030516,org.eclipse.birt.core,1243865503096
started,bundle,org.eclipse.birt.report.model,2.3.1.v20080912,org.eclipse.birt.report.model,1243865503152
