what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.birt.integration.wtp.ui,2.3.1.zmyeclipse7102009030516,org.eclipse.birt.integration.wtp.ui,1243865503218
started,bundle,com.genuitec.eclipse.j2eedt.core,7.1.1.zmyeclipse71120090310,com.genuitec.eclipse.j2eedt.core,1243865503271
started,bundle,org.eclipse.birt.report.designer.ui.preview.web,2.3.1.zmyeclipse7102009030516,org.eclipse.birt.report.designer.ui.preview.web,1243865503435
started,bundle,org.eclipse.birt.chart.reportitem.ui,2.3.1.v20080911,org.eclipse.birt.chart.reportitem.ui,1243865504356
started,bundle,org.eclipse.birt.report.designer.core,2.3.1.zmyeclipse7102009030516,org.eclipse.birt.report.designer.core,1243865504521
started,bundle,org.eclipse.birt.report.item.crosstab.ui,2.3.1.zmyeclipse7102009030516,org.eclipse.birt.report.item.crosstab.ui,1243865504782
started,bundle,org.eclipse.birt.report.item.crosstab.core,2.3.1.v20080905,org.eclipse.birt.report.item.crosstab.core,1243865504809
started,bundle,org.eclipse.birt.chart.engine,2.3.1.v20080905,org.eclipse.birt.chart.engine,1243865504939
started,bundle,org.eclipse.birt.report.designer.ui.cubebuilder,2.3.1.v20080905,org.eclipse.birt.report.designer.ui.cubebuilder,1243865505172
started,bundle,org.eclipse.birt.report.designer.ui.views,2.3.1.v20080905,org.eclipse.birt.report.designer.ui.views,1243865505255
started,bundle,org.eclipse.birt.report.designer.ui.ide,2.3.1.zmyeclipse7102009030516,org.eclipse.birt.report.designer.ui.ide,1243865505397
started,bundle,org.eclipse.birt.chart.reportitem,2.3.1.v20080908,org.eclipse.birt.chart.reportitem,1243865505585
started,bundle,org.eclipse.birt.report.engine,2.3.1.v20080918,org.eclipse.birt.report.engine,1243865506724
started,bundle,org.eclipse.gef,3.4.1.v20080806,org.eclipse.gef,1243865506821
started,bundle,org.eclipse.birt.report.designer.ui,2.3.1.zmyeclipse7102009030516,org.eclipse.birt.report.designer.ui,1243865506972
started,bundle,org.eclipse.ui.cheatsheets,3.3.101.v20080702_34x,org.eclipse.ui.cheatsheets,1243865506995
started,bundle,org.eclipse.wst.common.project.facet.ui,1.3.2.v200809022055,org.eclipse.wst.common.project.facet.ui,1243865507148
started,bundle,org.eclipse.wst.web.ui,1.1.200.zmyeclipse7102009030516,org.eclipse.wst.web.ui,1243865507149
started,bundle,org.eclipse.jst.servlet.ui,1.1.203.zmyeclipse7102009030516,org.eclipse.jst.servlet.ui,1243865507152
started,bundle,com.genuitec.eclipse.derby,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.derby,1243865507152
started,bundle,com.genuitec.eclipse.easie.geronimo1,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.geronimo1,1243865507174
started,bundle,com.genuitec.eclipse.easie.geronimo2,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.geronimo2,1243865507194
started,bundle,com.genuitec.eclipse.easie.jboss,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.jboss,1243865507205
started,bundle,com.genuitec.eclipse.easie.jboss2,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.jboss2,1243865507220
started,bundle,com.genuitec.eclipse.easie.jboss3,7.1.0.zmyeclipse7102009030516,com.genuitec.eclipse.easie.jboss3,1243865507240
